sentence,translated,gematria_sum
ᛗᚪᚾ-ᛒᛖᚷᛖᛏᛏᛝ-ᚻᛁᛋ-ᛚᛁᚳᛖᚾᛖᛋᛋ,MAN BEGETTING HIS LIKENESS,1099
ᚩᚾ-ᚻᛁᛋ-ᚩᚹᚾ-ᛞᛁᚢᛁᛞᛖᛞ-ᛁᛗᚪᚷᛖ,ON HIS OWN DIUIDED IMAGE,880
ᚪ-ᛏᛁᛗᛖ-ᛈᚪᛋᛋᛖᛞ-ᚩᚢᛖᚱ-ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚᛋ,A TIME PASSED OUER THE ETERNALS,1343
ᛒᛖᚷᚪᚾ-ᛏᚩ-ᛖᚱᛖᚳᛏ-ᚦᛖ-ᛏᛖᚾᛏ,BEGAN TO EREKT THE TENT,840
ᚹᚻᛖᚾ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾ-ᛋᛁᚳᚳ,WHEN ENITHARMON SIKK,595
ᚠᛖᛚᛏ-ᚪ-ᚹᚩᚱᛗ-ᚹᛁᚦᛁᚾ-ᚻᛖᚱ-ᚹᚩᛗᛒ,FELT A WORM WITHIN HER WOMB,780
ᚣᛖᛏ-ᚻᛖᛚᛈᛚᛖᛋᛋ-ᛁᛏ-ᛚᚪᚣ-ᛚᛁᚳᛖ-ᚪ-ᚹᚩᚱᛗ,YET HELPLESS IT LAY LIKE A WORM,1433
ᛁᚾ-ᚦᛖ-ᛏᚱᛖᛗᛒᛚᛝ-ᚹᚩᛗᛒ,IN THE TREMBLING WOMB,711
ᛏᚩ-ᛒᛖ-ᛗᚩᚢᛚᛞᛖᛞ-ᛁᚾᛏᚩ-ᛖᛉᛁᛋᛏᛖᚾᚳᛖ,TO BE MOULDED INTO EXISTENKE,1152
ᚪᛚᛚ-ᛞᚪᚣ-ᚦᛖ-ᚹᚩᚱᛗ-ᛚᚪᚣ-ᚩᚾ-ᚻᛖᚱ-ᛒᚩᛋᚩᛗ,ALL DAY THE WORM LAY ON HER BOSOM,1321
ᚪᛚᛚ-ᚾᛁᚷᚻᛏ-ᚹᛁᚦᛁᚾ-ᚻᛖᚱ-ᚹᚩᛗᛒ,ALL NIGHT WITHIN HER WOMB,776
ᚦᛖ-ᚹᚩᚱᛗ-ᛚᚪᚣ-ᛏᛁᛚᛚ-ᛁᛏ-ᚷᚱᛖᚹ-ᛏᚩ-ᚪ-ᛋᛖᚱᛈᛖᚾᛏ,THE WORM LAY TILL IT GREW TO A SERPENT,1385
ᚹᛁᚦ-ᛞᚩᛚᚩᚱᚩᚢᛋ-ᚻᛁᛋᛋᛝᛋ-ᚪᚾᛞ-ᛈᚩᛁᛋᚩᚾᛋ,WITH DOLOROUS HISSINGS AND POISONS,1035
ᚱᚩᚢᚾᛞ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾᛋ-ᛚᚩᛁᚾᛋ-ᚠᚩᛚᛞᛝ,ROUND ENITHARMONS LOINS FOLDING,982
ᚳᚩᛁᛚᛞ-ᚹᛁᚦᛁᚾ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾᛋ-ᚹᚩᛗᛒ,KOILD WITHIN ENITHARMONS WOMB,886
ᚦᛖ-ᛋᛖᚱᛈᛖᚾᛏ-ᚷᚱᛖᚹ-ᚳᚪᛋᛏᛝ-ᛁᛏᛋ-ᛋᚳᚪᛚᛖᛋ,THE SERPENT GREW KASTING ITS SKALES,1315
ᚹᛁᚦ-ᛋᚻᚪᚱᛈ-ᛈᚪᛝᛋ-ᚦᛖ-ᚻᛁᛋᛋᛝᛋ-ᛒᛖᚷᚪᚾ,WITH SHARP PAINGS THE HISSINGS BEGAN,1189
ᛏᚩ-ᚳᚻᚪᛝᛖ-ᛏᚩ-ᚪ-ᚷᚱᚪᛏᛝ-ᚳᚱᚣ,TO KHAINGE TO A GRATING KRY,898
ᛗᚪᚾᚣ-ᛋᚩᚱᚱᚩᚹᛋ-ᚪᚾᛞ-ᛞᛁᛋᛗᚪᛚ-ᚦᚱᛟᛋ,MANY SORROWS AND DISMAL THROES,1242
ᛗᚪᚾᚣ-ᚠᚩᚱᛗᛋ-ᚩᚠ-ᚠᛁᛋᚻ-ᛒᛁᚱᛞ-ᚪᚾᛞ-ᛒᛠᛋᛏ,MANY FORMS OF FISH BIRD AND BEAST,1251
ᛒᚱᚩᚢᚷᚻᛏ-ᚠᚩᚱᚦ-ᚪᚾ-ᛁᚾᚠᚪᚾᛏ-ᚠᚩᚱᛗ,BROUGHT FORTH AN INFANT FORM,670
ᚹᚻᛖᚱᛖ-ᚹᚪᛋ-ᚪ-ᚹᚩᚱᛗ-ᛒᛖᚠᚩᚱᛖ,WHERE WAS A WORM BEFORE,776
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᚦᛖᛁᚱ-ᛏᛖᚾᛏ-ᚠᛁᚾᛁᛋᚻᛖᛞ,THE ETERNALS THEIR TENT FINISHED,1181
ᚪᛚᚪᚱᛗᛞ-ᚹᛁᚦ-ᚦᛖᛋᛖ-ᚷᛚᚩᚩᛗᚣ-ᚢᛁᛋᛡᚾᛋ,ALARMD WITH THESE GLOOMY UISIANS,1239
ᚹᚻᛖᚾ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾ-ᚷᚱᚩᚪᚾᛝ,WHEN ENITHARMON GROANING,725
ᛈᚱᚩᛞᚢᚳᛞ-ᚪ-ᛗᚪᚾ-ᚳᚻᛁᛚᛞ-ᛏᚩ-ᚦᛖ-ᛚᛁᚷᚻᛏ,PRODUKD A MAN KHILD TO THE LIGHT,1119
ᚪ-ᛋᚻᚱᛁᛖᚳ-ᚱᚪᚾ-ᚦᚱᚩ-ᛖᛏᛖᚱᚾᛁᛏᚣ,A SHRIEK RAN THRO ETERNITY,881
ᚪᚾᛞ-ᚪ-ᛈᚪᚱᚪᛚᚣᛏᛁᚳ-ᛋᛏᚱᚩᚳᛖ,AND A PARALYTIK STROKE,1049
ᚪᛏ-ᚦᛖ-ᛒᛁᚱᚦ-ᚩᚠ-ᚦᛖ-ᚻᚢᛗᚪᚾ-ᛋᚻᚪᛞᚩᚹ,AT THE BIRTH OF THE HUMAN SHADOW,928
ᛞᛖᛚᚢᛝ-ᛠᚱᚦ-ᛁᚾ-ᚻᛁᛋ-ᚱᛖᛋᛁᛋᛏᛚᛖᛋᛋ-ᚹᚪᚣ,DELUING EARTH IN HIS RESISTLESS WAY,1342
ᚻᚩᚹᛚᛝ-ᚦᛖ-ᚳᚻᛁᛚᛞ-ᚹᛁᚦ-ᚠᛁᛖᚱᚳᛖ-ᚠᛚᚪᛗᛖᛋ,HOWLING THE KHILD WITH FIERKE FLAMES,1111
ᛁᛋᛋᚢᛞ-ᚠᚱᚩᛗ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾ,ISSUD FROM ENITHARMON,667
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᚳᛚᚩᛋᛖᛞ-ᚦᛖ-ᛏᛖᚾᛏ,THE ETERNALS KLOSED THE TENT,1116
ᚦᛖᚣ-ᛒᛠᛏ-ᛞᚩᚹᚾ-ᚦᛖ-ᛋᛏᚪᚳᛖᛋ-ᚦᛖ-ᚳᚩᚱᛞᛋ,THEY BEAT DOWN THE STAKES THE KORDS,1207
ᛋᛏᚱᛖᛏᚳᚻᛞ-ᚠᚩᚱ-ᚪ-ᚹᚩᚱᚳ-ᚩᚠ-ᛖᛏᛖᚱᚾᛁᛏᚣ,STRETKHD FOR A WORK OF ETERNITY,976
ᚾᚩ-ᛗᚩᚱᛖ-ᛚᚩᛋ-ᛒᛖᚻᛖᛚᛞ-ᛖᛏᛖᚱᚾᛁᛏᚣ,NO MORE LOS BEHELD ETERNITY,1131
ᛁᚾ-ᚻᛁᛋ-ᚻᚪᚾᛞᛋ-ᚻᛖ-ᛋᛁᛖᛋᛞ-ᚦᛖ-ᛁᚾᚠᚪᚾᛏ,IN HIS HANDS HE SIESD THE INFANT,1160
ᚻᛖ-ᛒᚪᚦᛖᛞ-ᚻᛁᛗ-ᛁᚾ-ᛋᛈᚱᛝᛋ-ᚩᚠ-ᛋᚩᚱᚱᚩᚹ,HE BATHED HIM IN SPRINGS OF SORROW,950
ᚻᛖ-ᚷᚪᚢᛖ-ᚻᛁᛗ-ᛏᚩ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾ,HE GAUE HIM TO ENITHARMON,812
ᚦᛖᚣ-ᚾᚪᛗᛖᛞ-ᚦᛖ-ᚳᚻᛁᛚᛞ-ᚩᚱᚳ-ᚻᛖ-ᚷᚱᛖᚹ,THEY NAMED THE KHILD ORK HE GREW,1064
ᚠᛖᛞ-ᚹᛁᚦ-ᛗᛁᛚᚳ-ᚩᚠ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾ,FED WITH MILK OF ENITHARMON,757
ᛚᚩᛋ-ᚪᚹᚩᚳᛖ-ᚻᛖᚱ-ᚩ-ᛋᚩᚱᚱᚩᚹ-ᚪᚾᛞ-ᛈᚪᛁᚾ,LOS AWOKE HER O SORROW AND PAIN,967
ᚪ-ᛏᛁᚷᚻᛏᚾᛝ-ᚷᛁᚱᛞᛚᛖ-ᚷᚱᛖᚹ,A TIGHTNING GIRDLE GREW,796
ᚪᚱᚩᚢᚾᛞ-ᚻᛁᛋ-ᛒᚩᛋᚩᛗ-ᛁᚾ-ᛋᚩᛒᛒᛝᛋ,AROUND HIS BOSOM IN SOBBINGS,916
ᚻᛖ-ᛒᚢᚱᛋᛏ-ᚦᛖ-ᚷᛁᚱᛞᛚᛖ-ᛁᚾ-ᛏᚹᚪᛁᚾ,HE BURST THE GIRDLE IN TWAIN,932
ᛒᚢᛏ-ᛋᛏᛁᛚᛚ-ᚪᚾᚩᚦᛖᚱ-ᚷᛁᚱᛞᛚᛖ,BUT STILL ANOTHER GIRDLE,916
ᚩᛈᚱᛖᛋᛋᛞ-ᚻᛁᛋ-ᛒᚩᛋᚩᛗ-ᛁᚾ-ᛋᚩᛒᛒᛝᛋ,OPRESSD HIS BOSOM IN SOBBINGS,1003
ᚪᚷᚪᛁᚾ-ᚻᛖ-ᛒᚢᚱᛋᛏ-ᛁᛏ-ᚪᚷᚪᛁᚾ,AGAIN HE BURST IT AGAIN,909
ᚪᚾᚩᚦᛖᚱ-ᚷᛁᚱᛞᛚᛖ-ᛋᚢᚳᚳᛖᛖᛞᛋ,ANOTHER GIRDLE SUKKEEDS,862
ᚦᛖ-ᚷᛁᚱᛞᛚᛖ-ᚹᚪᛋ-ᚠᚩᚱᛗᛞ-ᛒᚣ-ᛞᚪᚣ,THE GIRDLE WAS FORMD BY DAY,1162
ᛒᚣ-ᚾᛁᚷᚻᛏ-ᚹᚪᛋ-ᛒᚢᚱᛋᛏ-ᛁᚾ-ᛏᚹᚪᛁᚾ,BY NIGHT WAS BURST IN TWAIN,974
ᚦᛖᛋᛖ-ᚠᚪᛚᛚᛝ-ᛞᚩᚹᚾ-ᚩᚾ-ᚦᛖ-ᚱᚩᚳᚳ,THESE FALLING DOWN ON THE ROKK,812
ᛁᚾᛏᚩ-ᚪᚾ-ᛁᚱᚩᚾ-ᚳᚻᚪᛁᚾ,INTO AN IRON KHAIN,523
ᛁᚾ-ᛠᚳᚻ-ᚩᚦᛖᚱ-ᛚᛁᚾᚳ-ᛒᚣ-ᛚᛁᚾᚳ-ᛚᚩᚳᚳᛞ,IN EAKH OTHER LINK BY LINK LOKKD,946
ᚦᛖᚣ-ᛏᚩᚩᚳ-ᚩᚱᚳ-ᛏᚩ-ᚦᛖ-ᛏᚩᛈ-ᚩᚠ-ᚪ-ᛗᚩᚢᚾᛏᚪᛁᚾ,THEY TOOK ORK TO THE TOP OF A MOUNTAIN,971
ᚩ-ᚻᚩᚹ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾ-ᚹᛖᛈᛏ,O HOW ENITHARMON WEPT,591
ᚦᛖᚣ-ᚳᚻᚪᛁᚾᛞ-ᚻᛁᛋ-ᚣᚩᚢᛝ-ᛚᛁᛗᛒᛋ-ᛏᚩ-ᚦᛖ-ᚱᚩᚳᚳ,THEY KHAIND HIS YOUING LIMBS TO THE ROKK,1227
ᚹᛁᚦ-ᚦᛖ-ᚳᚻᚪᛁᚾ-ᚩᚠ-ᛄᛠᛚᚩᚢᛋᚣ,WITH THE KHAIN OF JEALOUSY,714
ᛒᛖᚾᛠᚦ-ᚢᚱᛁᛋᛖᚾᛋ-ᛞᛠᚦᚠᚢᛚ-ᛋᚻᚪᛞᚩᚹ,BENEATH URISENS DEATHFUL SHADOW,1087
ᚦᛖ-ᛞᛠᛞ-ᚻᛠᚱᛞ-ᚦᛖ-ᚢᚩᛁᚳᛖ-ᚩᚠ-ᚦᛖ-ᚳᚻᛁᛚᛞ,THE DEAD HEARD THE UOIKE OF THE KHILD,1094
ᚪᚾᛞ-ᛒᛖᚷᚪᚾ-ᛏᚩ-ᚪᚹᚪᚳᛖ-ᚠᚱᚩᛗ-ᛋᛚᛖᛖᛈ,AND BEGAN TO AWAKE FROM SLEEP,1239
ᚪᛚᛚ-ᚦᛝᛋ-ᚻᛠᚱᛞ-ᚦᛖ-ᚢᚩᛁᚳᛖ-ᚩᚠ-ᚦᛖ-ᚳᚻᛁᛚᛞ,ALL THINGS HEARD THE UOIKE OF THE KHILD,1115
ᚪᚾᛞ-ᛒᛖᚷᚪᚾ-ᛏᚩ-ᚪᚹᚪᚳᛖ-ᛏᚩ-ᛚᛁᚠᛖ,AND BEGAN TO AWAKE TO LIFE,1084
ᚪᚾᛞ-ᚢᚱᛁᛋᛖᚾ-ᚳᚱᚪᚢᛝ-ᚹᛁᚦ-ᚻᚢᛝᛖᚱ,AND URISEN KRAUING WITH HUINGER,850
ᛋᛏᚢᛝ-ᚹᛁᚦ-ᚦᛖ-ᚩᛞᚩᚢᚱᛋ-ᚩᚠ-ᚾᚪᛏᚢᚱᛖ,STUING WITH THE ODOURS OF NATURE,766
ᛖᛉᛈᛚᚩᚱᛞ-ᚻᛁᛋ-ᛞᛖᚾᛋ-ᚪᚱᚩᚢᚾᛞ,EXPLORD HIS DENS AROUND,918
ᚻᛖ-ᚠᚩᚱᛗᛞ-ᚪ-ᛚᛁᚾᛖ-ᚪᚾᛞ-ᚪ-ᛈᛚᚢᛗᛗᛖᛏ,HE FORMD A LINE AND A PLUMMET,1266
ᛏᚩ-ᛞᛁᚢᛁᛞᛖ-ᚦᛖ-ᚪᛒᚣᛋᛋ-ᛒᛖᚾᛠᚦ,TO DIUIDE THE ABYSS BENEATH,1086
ᚻᛖ-ᚠᚩᚱᛗᛞ-ᚪ-ᛞᛁᚢᛁᛞᛝ-ᚱᚢᛚᛖ,HE FORMD A DIUIDING RULE,843
ᚻᛖ-ᚠᚩᚱᛗᛖᛞ-ᛋᚳᚪᛚᛖᛋ-ᛏᚩ-ᚹᛖᛁᚷᚻ,HE FORMED SKALES TO WEIGH,916
ᚻᛖ-ᚠᚩᚱᛗᛖᛞ-ᛗᚪᛋᛋᚣ-ᚹᛖᛁᚷᚻᛏᛋ,HE FORMED MASSY WEIGHTS,983
ᚻᛖ-ᚠᚩᚱᛗᛖᛞ-ᚪ-ᛒᚱᚪᛋᛖᚾ-ᚢᚪᛞᚱᚪᚾᛏ,HE FORMED A BRASEN UADRANT,1137
ᚻᛖ-ᚠᚩᚱᛗᛖᛞ-ᚷᚩᛚᛞᛖᚾ-ᚳᚩᛗᛈᚪᛋᛋᛖᛋ,HE FORMED GOLDEN KOMPASSES,1076
ᚪᚾᛞ-ᛒᛖᚷᚪᚾ-ᛏᚩ-ᛖᛉᛈᛚᚩᚱᛖ-ᚦᛖ-ᚪᛒᚣᛋᛋ,AND BEGAN TO EXPLORE THE ABYSS,1306
ᚪᚾᛞ-ᚻᛖ-ᛈᛚᚪᚾᛏᛖᛞ-ᚪ-ᚷᚪᚱᛞᛖᚾ-ᚩᚠ-ᚠᚱᚢᛁᛏᛋ,AND HE PLANTED A GARDEN OF FRUITS,1337
ᛒᚢᛏ-ᛚᚩᛋ-ᛖᚾᚳᛁᚱᚳᛚᛖᛞ-ᛖᚾᛁᚦᚪᚱᛗᚩᚾ,BUT LOS ENKIRKLED ENITHARMON,996
ᚹᛁᚦ-ᚠᛁᚱᛖᛋ-ᚩᚠ-ᛈᚱᚩᛈᚻᛖᚳᚣ,WITH FIRES OF PROPHEKY,538
ᚠᚱᚩᛗ-ᚦᛖ-ᛋᛁᚷᚻᛏ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ-ᚪᚾᛞ-ᚩᚱᚳ,FROM THE SIGHT OF URISEN AND ORK,795
ᚪᚾᛞ-ᛋᚻᛖ-ᛒᚩᚱᛖ-ᚪᚾ-ᛖᚾᚩᚱᛗᚩᚢᛋ-ᚱᚪᚳᛖ,AND SHE BORE AN ENORMOUS RAKE,1066
ᚢᚱᛁᛋᛖᚾ-ᛖᛉᛈᛚᚩᚱᛞ-ᚻᛁᛋ-ᛞᛖᚾᛋ,URISEN EXPLORD HIS DENS,876
ᛗᚩᚢᚾᛏᚪᛁᚾ-ᛗᚩᚩᚱ-ᚪᚾᛞ-ᚹᛁᛚᛞᛖᚱᚾᛖᛋᛋ,MOUNTAIN MOOR AND WILDERNESS,1129
ᚹᛁᚦ-ᚪ-ᚷᛚᚩᛒᛖ-ᚩᚠ-ᚠᛁᚱᛖ-ᛚᛁᚷᚻᛏᛝ-ᚻᛁᛋ-ᛄᚩᚢᚱᚾᛖᚣ,WITH A GLOBE OF FIRE LIGHTING HIS JOURNEY,1143
ᚪ-ᚠᛠᚱᚠᚢᛚ-ᛄᚩᚢᚱᚾᛖᚣ-ᚪᚾᚾᚩᚣᛞ,A FEARFUL JOURNEY ANNOYD,908
ᛒᚣ-ᚳᚱᚢᛖᛚ-ᛖᚾᚩᚱᛗᛁᛏᛁᛖᛋ-ᚠᚩᚱᛗᛋ,BY KRUEL ENORMITIES FORMS,901
ᚩᚠ-ᛚᛁᚠᛖ-ᚩᚾ-ᚻᛁᛋ-ᚠᚩᚱᛋᚪᚳᛖᚾ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ,OF LIFE ON HIS FORSAKEN MOUNTAINS,983
ᚪᚾᛞ-ᚻᛁᛋ-ᚹᚩᚱᛚᛞ-ᛏᛖᛖᛗᛞ-ᚢᚪᛋᛏ-ᛖᚾᚩᚱᛗᛁᛏᛁᛖᛋ,AND HIS WORLD TEEMD UAST ENORMITIES,1512
ᚠᚱᛁᚷᚻᛏᚾᛝ-ᚠᚪᛁᚦᛚᛖᛋᛋ-ᚠᚪᚹᚾᛝ,FRIGHTNING FAITHLESS FAWNING,858
ᛈᚩᚱᛏᛡᚾᛋ-ᚩᚠ-ᛚᛁᚠᛖ-ᛋᛁᛗᛁᛚᛁᛏᚢᛞᛖᛋ,PORTIANS OF LIFE SIMILITUDES,1052
ᚩᚠ-ᚪ-ᚠᚩᚩᛏ-ᚩᚱ-ᚪ-ᚻᚪᚾᛞ-ᚩᚱ-ᚪ-ᚻᛠᛞ,OF A FOOT OR A HAND OR A HEAD,870
ᚩᚱ-ᚪ-ᚻᛠᚱᛏ-ᚩᚱ-ᚪᚾ-ᛖᚣᛖ-ᚦᛖᚣ-ᛋᚹᚪᛗ-ᛗᛁᛋᚳᚻᛖᚢᚩᚢᛋ,OR A HEART OR AN EYE THEY SWAM MISKHEUOUS,1437
ᛞᚱᛠᛞ-ᛏᛖᚱᚱᚩᚱᛋ-ᛞᛖᛚᛁᚷᚻᛏᛝ-ᛁᚾ-ᛒᛚᚩᚩᛞ,DREAD TERRORS DELIGHTING IN BLOOD,1252
ᛗᚩᛋᛏ-ᚢᚱᛁᛋᛖᚾ-ᛋᛁᚳᚳᛖᚾᛞ-ᛏᚩ-ᛋᛖᛖ,MOST URISEN SIKKEND TO SEE,932
ᚻᛁᛋ-ᛖᛏᛖᚱᚾᚪᛚ-ᚳᚱᛠᛏᛡᚾᛋ-ᚪᛈᛈᛠᚱ,HIS ETERNAL KREATIANS APPEAR,1194
ᛋᚩᚾᛋ-ᚪᚾᛞ-ᛞᚪᚢᚷᚻᛏᛖᚱᛋ-ᚩᚠ-ᛋᚩᚱᚱᚩᚹ-ᚩᚾ-ᛗᚩᚢᚾᛏᚪᛁᚾᛋ,SONS AND DAUGHTERS OF SORROW ON MOUNTAINS,1308
ᚹᛖᛖᛈᛝ-ᚹᚪᛁᛚᛝ-ᚠᛁᚱᛋᛏ-ᚦᛁᚱᛁᛖᛚ-ᚪᛈᛈᛠᚱᛞ,WEEPING WAILING FIRST THIRIEL APPEARD,1340
ᚪᛋᛏᚩᚾᛁᛋᚻᛞ-ᚪᛏ-ᚻᛁᛋ-ᚩᚹᚾ-ᛖᛉᛁᛋᛏᛖᚾᚳᛖ,ASTONISHD AT HIS OWN EXISTENKE,1192
ᛚᛁᚳᛖ-ᚪ-ᛗᚪᚾ-ᚠᚱᚩᛗ-ᚪ-ᚳᛚᚩᚢᛞ-ᛒᚩᚱᚾ-ᚪᚾᛞ-ᚢᚦᚪ,LIKE A MAN FROM A KLOUD BORN AND UTHA,1279
ᚠᚱᚩᛗ-ᚦᛖ-ᚹᚪᛏᛖᚱᛋ-ᛖᛗᛖᚱᚷᛝ-ᛚᚪᛗᛖᚾᛏᛋ,FROM THE WATERS EMERGING LAMENTS,1230
ᚷᚱᚩᛞᚾᚪ-ᚱᛖᚾᛏ-ᚦᛖ-ᛞᛖᛖᛈ-ᛠᚱᚦ-ᚻᚩᚹᛚᛝ,GRODNA RENT THE DEEP EARTH HOWLING,1080
ᚪᛗᚪᛋᛞ-ᚻᛁᛋ-ᚻᛠᚢᛖᚾᛋ-ᛁᛗᛗᛖᚾᛋᛖ-ᚳᚱᚪᚳᚳᛋ,AMASD HIS HEAUENS IMMENSE KRAKKS,1387
ᛚᛁᚳᛖ-ᚦᛖ-ᚷᚱᚩᚢᚾᛞ-ᛈᚪᚱᚳᚻᛞ-ᚹᛁᚦ-ᚻᛠᛏ-ᚦᛖᚾ-ᚠᚢᛋᚩᚾ,LIKE THE GROUND PARKHD WITH HEAT THEN FUSON,1129
ᚠᛚᚪᛗᛞ-ᚩᚢᛏ-ᚠᛁᚱᛋᛏ-ᛒᛖᚷᚩᛏᛏᛖᚾ-ᛚᚪᛋᛏ-ᛒᚩᚱᚾ,FLAMD OUT FIRST BEGOTTEN LAST BORN,1313
ᚪᛚᛚ-ᚻᛁᛋ-ᛖᛏᛖᚱᚾᚪᛚ-ᛋᚩᚾᛋ-ᛁᚾ-ᛚᛁᚳᛖ-ᛗᚪᚾᚾᛖᚱ,ALL HIS ETERNAL SONS IN LIKE MANNER,1443
ᚻᛁᛋ-ᛞᚪᚢᚷᚻᛏᛖᚱᛋ-ᚠᚱᚩᛗ-ᚷᚱᛖᛖᚾ-ᚻᛖᚱᛒᛋ-ᚪᚾᛞ-ᚳᚪᛏᛏᛚᛖ,HIS DAUGHTERS FROM GREEN HERBS AND KATTLE,1606
ᚠᚱᚩᛗ-ᛗᚩᚾᛋᛏᛖᚱᛋ-ᚪᚾᛞ-ᚹᚩᚱᛗᛋ-ᚩᚠ-ᚦᛖ-ᛈᛁᛏ,FROM MONSTERS AND WORMS OF THE PIT,1031
ᚻᛖ-ᛁᚾ-ᛞᚪᚱᚳᚾᛖᛋᛋ-ᚳᛚᚩᛋᛞ-ᚢᛁᛖᚹᛞ-ᚪᛚᛚ-ᚻᛁᛋ-ᚱᚪᚳᛖ,HE IN DARKNESS KLOSD UIEWD ALL HIS RAKE,1544
ᚪᚾᛞ-ᚻᛁᛋ-ᛋᚩᚢᛚ-ᛋᛁᚳᚳᛖᚾᛞ-ᚻᛖ-ᚳᚢᚱᛋᛞ,AND HIS SOUL SIKKEND HE KURSD,1012
ᛒᚩᚦ-ᛋᚩᚾᛋ-ᚪᚾᛞ-ᛞᚪᚢᚷᚻᛏᛖᚱᛋ-ᚠᚩᚱ-ᚻᛖ-ᛋᚪᚹ,BOTH SONS AND DAUGHTERS FOR HE SAW,1128
ᚦᚪᛏ-ᚾᚩ-ᚠᛚᛖᛋᚻ-ᚾᚩᚱ-ᛋᛈᛁᚱᛁᛏ-ᚳᚩᚢᛚᛞ-ᚳᛖᛖᛈ,THAT NO FLESH NOR SPIRIT KOULD KEEP,1065
ᚻᛁᛋ-ᛁᚱᚩᚾ-ᛚᚪᚹᛋ-ᚩᚾᛖ-ᛗᚩᛗᛖᚾᛏ,HIS IRON LAWS ONE MOMENT,834
ᚠᚩᚱ-ᚻᛖ-ᛋᚪᚹ-ᚦᚪᛏ-ᛚᛁᚠᛖ-ᛚᛁᚢᛞ-ᚢᛈᚩᚾ-ᛞᛠᚦ,FOR HE SAW THAT LIFE LIUD UPON DEATH,1094
ᚦᛖ-ᚩᛉ-ᛁᚾ-ᚦᛖ-ᛋᛚᚪᚢᚷᚻᛏᛖᚱ-ᚻᚩᚢᛋᛖ-ᛗᚩᚪᚾᛋ,THE OX IN THE SLAUGHTER HOUSE MOANS,1071
ᚦᛖ-ᛞᚩᚷ-ᚪᛏ-ᚦᛖ-ᚹᛁᚾᛏᚱᚣ-ᛞᚩᚩᚱ,THE DOG AT THE WINTRY DOOR,779
ᚪᚾᛞ-ᚻᛖ-ᚹᛖᛈᛏ-ᚪᚾᛞ-ᚻᛖ-ᚳᚪᛚᛚᛖᛞ-ᛁᛏ-ᛈᛁᛏᚣ,AND HE WEPT AND HE KALLED IT PITY,1536
ᚪᚾᛞ-ᚻᛁᛋ-ᛏᛠᚱᛋ-ᚠᛚᚩᚹᛖᛞ-ᛞᚩᚹᚾ-ᚩᚾ-ᚦᛖ-ᚹᛁᚾᛞᛋ,AND HIS TEARS FLOWED DOWN ON THE WINDS,1284
ᚳᚩᛚᛞ-ᚻᛖ-ᚹᚪᚾᛞᛖᚱᛞ-ᚩᚾ-ᚻᛁᚷᚻ-ᚩᚢᛖᚱ-ᚦᛖᛁᚱ-ᚳᛁᛏᛁᛖᛋ,KOLD HE WANDERD ON HIGH OUER THEIR KITIES,1259
ᛁᚾ-ᚹᛖᛖᛈᛝ-ᚪᚾᛞ-ᛈᚪᛁᚾ-ᚪᚾᛞ-ᚹᛟ,IN WEEPING AND PAIN AND WOE,1067
ᚪᚾᛞ-ᚹᚻᛖᚱᛖ-ᛖᚢᛖᚱ-ᚻᛖ-ᚹᚪᚾᛞᛖᚱᛞ-ᛁᚾ-ᛋᚩᚱᚱᚩᚹᛋ,AND WHERE EUER HE WANDERD IN SORROWS,1262
ᚢᛈᚩᚾ-ᚦᛖ-ᚪᚷᛖᛞ-ᚻᛠᚢᛖᚾᛋ,UPON THE AGED HEAUENS,708
ᚪ-ᚳᚩᛚᛞ-ᛋᚻᚪᛞᚩᚹ-ᚠᚩᛚᛚᚩᚹᛞ-ᛒᛖᚻᛁᚾᛞ-ᚻᛁᛗ,A KOLD SHADOW FOLLOWD BEHIND HIM,1262
ᛚᛁᚳᛖ-ᚪ-ᛋᛈᛁᛞᛖᚱᛋ-ᚹᛖᛒ-ᛗᚩᛁᛋᛏ-ᚳᚩᛚᛞ-ᚪᚾᛞ-ᛞᛁᛗ,LIKE A SPIDERS WEB MOIST KOLD AND DIM,1584
ᛞᚱᚪᚹᛝ-ᚩᚢᛏ-ᚠᚱᚩᛗ-ᚻᛁᛋ-ᛋᚩᚱᚱᚩᚹᛝ-ᛋᚩᚢᛚ,DRAWING OUT FROM HIS SORROWING SOUL,885
ᚦᛖ-ᛞᚢᛝᛇᚾ-ᛚᛁᚳᛖ-ᚻᛠᚢᛖᚾ-ᛞᛁᚢᛁᛞᛝ,THE DUINGEON LIKE HEAUEN DIUIDING,1050
